Age	9.5	10	10.5	11	11.5	12	12.5	13	13.5	14	14.5	15	15.5	16	16.5	17	17.5
population_mean_height_cm	136	138	141	143	145	148	151	155	159	162	166	169	171	173	175	176	177
population_sd_height_cm	5.471	5.598	5.725	6.1	6.211	6.657	6.784	7.269	7.468	7.77	7.523	7.396	7.269	6.966	6.839	6.657	6.354
population_mean_jump_height_cm	54.678	55.046	56.393	57.287	58.073	59.159	60.259	61.76	63.559	64.738	66.319	67.486	68.244	68.677	69	70	70.4
population_sd_jump_height_cm	3.2	3.17	3.203	3.264	3.22	3.122	3.191	3.092	3.205	3.108	3.315	3.14	3.191	3.296	3.362	3.198	3.2
population_mean_yoyo_m	1637.671	1657.049	1692.004	1725.752	1737.086	1773.546	1814.678	1860.494	1911.984	1950.72	1995.088	2025.012	2050.689	2087.214	2105.043	2113.64	2142.133
population_sd_yoyo_m	87.08	92.274	96.203	94.564	97.957	98.763	95.686	92.318	96.142	95.289	96.136	97.202	89.595	95.043	89.126	92.798	99.018
population_mean_sprint_s	4.528541667	4.505416667	4.482291667	4.459166667	4.436041667	4.412916667	4.389791667	4.366666667	4.343541667	4.320416667	4.297291667	4.274166667	4.246041667	4.217916667	4.189791667	4.161666667	4.133541667
population_sd_sprint_s	0.263276455	0.263068882	0.262861309	0.262653736	0.262446162	0.262238589	0.262031016	0.261823443	0.261615869	0.261408296	0.261200723	0.26099315	0.224285769	0.187578388	0.150871006	0.114163625	0.077456244
population_mean_agility_s	20	19.765	19.529	19.294	19.059	18.824	18.588	18.353	18.118	17.882	17.647	17.412	17.176	16.941	16.706	16.471	16.235
population_sd_agility_s	2	1.971	1.941	1.912	1.882	1.853	1.824	1.794	1.765	1.735	1.706	1.676	1.647	1.618	1.588	1.559	1.529
population_mean_strength_pct	75	76.471	77.941	79.412	80.882	82.353	83.824	85.294	86.765	88.235	89.706	91.176	92.647	94.118	95.588	97.059	98.529
population_sd_strength_pct	15	15.294	15.588	15.882	16.176	16.471	16.765	17.059	17.353	17.647	17.941	18.235	18.529	18.824	19.118	19.412	19.706
population_mean_body-weight_kg	2.5	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_body-weight_kg	1	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
population_mean_pro-agility_s	2.5	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_pro-agility_s	1	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
population_mean_side-plank_s	2.5	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_side-plank_s	1	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
population_mean_plank_s	2.5	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_plank_s	1	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
population_mean_pull-ups_count	2.5	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_pull-ups_count	1	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
population_mean_push-ups_count	2.5	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_push-ups_count	1	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
population_mean_spider-agility-test_s	2.5	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_spider-agility-test_s	1	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
population_mean_20msprint_s	2.5	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_20msprint_s	1	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
population_mean_top-speed_m-s	2.5	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_top-speed_m-s	1	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
population_mean_acceleration_s	2.5	2.559	2.618	2.676	2.735	2.794	2.853	2.912	2.971	3.029	3.088	3.147	3.206	3.265	3.324	3.382	3.441
population_sd_acceleration_s	1	0.988	0.976	0.965	0.953	0.941	0.929	0.918	0.906	0.894	0.882	0.871	0.859	0.847	0.835	0.824	0.812
